Gender,Handedness,Roll,Flip,Nose,Penny,Rank,Credits,Height,Fear,State,Textbook,Textbook.last,Wage,Age,Date,Heart
Female,Right,Yes,No,No,No,SR,112,63,7,FL,200,79,12.10,55,No,106
Female,Right,Yes,Yes,No,Yes,JR,84,66,4,UT,0,54,15.00,51,No,66
Female,Right,Yes,No,Yes,Yes,SR,125,74,6,ID,261,184,16.75,54,No,90
Female,Right,Yes,Yes,No,No,JR,77,71,6,ID,0,16,15.00,51,No,88
Female,Right,Yes,Yes,No,No,JR,40,67,3,KS,0,0,12.50,55,Yes,96
Female,Right,Yes,No,No,Yes,SO,35,67,5,ID ,40,20,11.45,50,No,72
Female,Right,Yes,No,No,Yes,FR,20,67,4,OH,100,130,12.00,66,No,89
Female,Right,Yes,No,No,No,SO,50,67,3,UT,150,200,17.50,55,Yes,70
Female,Right,Yes,No,No,Yes,FR,29,61,5,AR,0,110,13.00,56,No,75
Female,Right,Yes,Yes,Yes,Yes,FR,28,64.5,5,NE,0,200,12.00,55,Yes,72
Female,Right,Yes,No,No,No,FR,12,61,7,,50,0,15.00,62,No,
Female,Right,Yes,No,Yes,Yes,FR,27,67,3,AZ,100,100,14.00,53,No,70
Female,Right,Yes,No,No,Yes,FR,12,71,5,OR,120,100,13.00,57,No,72
Female,Right,Yes,Yes,No,Yes,SO,40,67,7,OR,27,30,11.00,56,Yes,62
Female,Right,Yes,No,No,Yes,JR,58,63,7,WY,0,36,15.00,57,Yes,
Female,Right,Yes,No,No,Yes,SO,54,61,4,CA,65,20,20.00,53,Yes,108
Female,Right,Yes,No,No,No,FR,13,61,2,PA,0,20,15.00,60,No,57
Female,Right,Yes,No,Yes,Yes,FR,35,67,5,ID,0,0,12.00,47,Yes,76
Female,Right,Yes,Yes,Yes,Yes,FR,29,67,4,UT,100,50,15.00,53,Yes,72
Female,Right,Yes,No,Yes,No,SO,45,62,4,France,50,0,12.00,45,No,56
Female,Right,Yes,No,No,Yes,JR,71,66,7,CA,80,160,11.00,47,Yes,88
Female,Right,Yes,No,No,Yes,SO,44,65,4,ID,131,56,10.00,55,Yes,64
Female,Right,Yes,Yes,No,Yes,JR,65,69,6,IL,200,50,15.00,55,Yes,68
Female,Right,Yes,No,No,Yes,FR,19,67,4,GA,15,8,10.00,58,Yes,84
Female,Right,Yes,Yes,No,Yes,SO,36,66,6,UT,62,40,25.00,53,Yes,87
Female,Left,No,No,No,Yes,JR,64,64,6,UT,85,185,12.00,65,Yes,123
Female,Right,Yes,Yes,No,Yes,FR,16,65,4,NM,20,200,12.50,56,Yes,84
Female,Right,Yes,No,No,Yes,JR,55,66,5,UT,0,100,14.75,47,Yes,74
Female,Right,Yes,Yes,Yes,No,JR,55,63,5.5,Canada,,120,12.00,54,Yes,70
Female,Right,Yes,No,No,No,SO,34,62,7,VA,30,0,10.00,50,No,57
Female,Right,Yes,Yes,No,No,SO,45,43,2,Rwanda,0,150,17.00,48,Yes,70
Female,Right,Yes,Yes,No,Yes,JR,102,63,5,NM,0,0,20.00,58,No,83
Female,Right,No,No,No,Yes,JR,75,66,3,MO,150,80,11.00,53,No,75
Female,Right,No,No,No,Yes,JR,76,60,6,ID,60,80,12.00,50,Yes,83
Female,Left,No,No,No,Yes,SR,45,71,7,TX,0,150,0.00,45,,68
Female,Right,Yes,Yes,No,Yes,JR,60,64,2,UT,0,0,17.50,56,No,62
Female,Right,Yes,Yes,Yes,Yes,SO,39,66,5,ID,90,80,12.50,56,No,66
Female,Right,Yes,No,No,Yes,SO,54,61,5,UT,0,80,13.50,45,No,62
Female,Right,Yes,Yes,No,Yes,FR,20,65,3,AZ,75,15,21.00,29,No,72
Female,Right,Yes,Yes,Yes,Yes,FR,13,66,4,MD,100,188,15.00,45,Yes,85
Female,Right,Yes,Yes,No,Yes,FR,18.7,62,5,WA,57,50,22.00,54,Yes,107
Female,Right,Yes,No,No,Yes,SO,40,66,7,ID,13,0,16.00,45,No,80
Female,Left,Yes,No,Yes,Yes,FR,19,56,6,ID,100,50,14.00,46,No,85
Female,Right,Yes,Yes,Yes,No,SR,110,67,5,AZ,,96,17.00,47,Yes,71
Female,Left,Yes,No,Yes,No,SO,30,70,3,ID,0,0,,50,No,66
Female,Right,No,Yes,No,Yes,JR,84,64,6,WY,100,80,11.00,36,No,80
Female,Right,No,No,Yes,Yes,JR,50,64,4,AZ,40,30,9.00,16,No,
Female,Left,Yes,Yes,No,Yes,FR,23,70,5,UT,50,65,10.00,55,Yes,55
Female,Right,Yes,Yes,Yes,No,SO,32,66,2,CO,65,0,15.00,49,Yes,78
Female,Right,No,No,No,Yes,FR,20,69,7,UT,200,50,18.50,48,No,65
Female,Right,Yes,No,No,Yes,JR,62,63,6,ID,40,0,12.00,40,No,120
Female,Right,Yes,Yes,No,Yes,FR,61,62,7,UT,30,0,13.00,20,No,125
Female,Left,Yes,Yes,No,No,SR,121,,3,CA,200,300,30.00,54,No,73
Female,Right,No,Yes,No,Yes,JR,61,59,5,TX,200,200,10.00,61,No,76
Female,Right,Yes,No,No,Yes,FR,14,67,6,CO,100,180,17.00,55,No,71
Female,Right,Yes,Yes,No,Yes,SO,40,63,5,UT,150,25,11.00,58,No,82
Female,Right,Yes,Yes,No,Yes,FR,25,65,4,UT,40,0,10.00,50,Yes,76
Female,Right,No,No,No,Yes,SO,53,62,3,KS,0,0,12.00,58,No,70
Female,Right,Yes,No,No,Yes,SR,164,63,5,NV,16,55,18.00,45,Yes,68
Female,Right,Yes,No,No,Yes,FR,30,73,5,MD,85,100,15.00,58,Yes,72
Female,Right,Yes,Yes,No,Yes,SO,42,61,5,UT,103,65,11.00,62,No,70
Female,Right,Yes,No,No,Yes,SO,30,59,6,AZ,150,50,10.00,54,Yes,72
Female,Left,Yes,Yes,No,No,JR,50,67,1,CO,99.81,120,32.00,57,No,82
Female,Right,Yes,No,No,Yes,FR,14,65,7,AZ,180,200,21.00,50,Yes,100
Female,Right,Yes,No,No,Yes,JR,71,65,7,FL,250,35,10.00,56,No,97
Female,Right,No,No,No,Yes,JR,25,63,7,ID,100,100,17.50,40,No,101
Female,Right,Yes,No,No,No,SO,29,62.9,4,Mexico,150,85,12.90,60,Yes,63
Female,Right,No,Yes,No,No,JR,64,66,6,ID,0,12,15.00,62,No,68
Female,Right,Yes,No,No,No,FR,40,69,2,Netherlands,75,50,0.00,21,Yes,140
Female,Right,No,No,No,No,SO,30,60,5,TX,100,50,10.00,55,No,110
Female,Right,Yes,No,No,Yes,JR,67,66,7,VA,215,50,17.00,53,Yes,80
Female,Right,Yes,No,Yes,Yes,SO,46.71,62,5,WA,0,135,11.50,58,No,84
Female,Right,Yes,Yes,No,Yes,FR,15,68,4,NV,150,50,18.00,47,Yes,94
Female,Right,Yes,No,No,Yes,SO,42,69,5,ID,229,50,12.00,53,Yes,84
Female,Right,Yes,No,No,Yes,JR,61,64,6,SC,90,65,11.00,55,Yes,82
Female,Right,Yes,Yes,Yes,Yes,FR,10,69,,CA,65,70,15.18,48,Yes,85
Female,Right,Yes,Yes,Yes,No,JR,45,63,7,OR,0,0,15.00,57,Yes,114
Female,Right,No,No,No,Yes,JR,80,69,5,UT,150,40,12.50,56,No,66
Female,Right,No,No,No,Yes,JR,75,61,6,UT,100,25,12.50,55,No,77
Female,Right,No,No,No,Yes,SR,60,66,6,IL,20,80,17.00,45,No,78
Female,Right,No,No,No,Yes,SO,40,63,5,UT,80,80,11.50,57,No,
Female,Right,No,No,No,Yes,FR,12,60,2,OR,147,65,11.50,60,No,66
Female,Right,Yes,No,No,Yes,SO,52,62.5,2,CA,0,60,14.25,57,No,52
Female,Left,Yes,No,No,Yes,SR,91,70,7,NV,20,0,11.00,45,No,82
Female,Right,Yes,Yes,No,No,JR,33,64,7,TX,142,200,15.00,55,Yes,60
Female,Right,Yes,No,No,No,JR,65,55,2,CA,100,150,14.76,53,Yes,84
